計測開始: 2025/10/20 22:25:50
移動距離: 2.95 時間: 1.6725
移動距離: 3.324688 時間: 0.4221162
移動距離: 3.779136 時間: 0.5611851
移動距離: 6.984382 時間: 0.4224086
移動距離: 9.621469 時間: 0.7125607
移動距離: 6.941483 時間: 0.4833794
移動距離: 6.072358 時間: 0.6480007
移動距離: 2.057288 時間: 0.4459219
移動距離: 11.71475 時間: 0.5405216
移動距離: 12.91627 時間: 1.2298
移動距離: 12.96921 時間: 0.5932398
移動距離: 5.281126 時間: 0.4991207
移動距離: 4.490637 時間: 0.4571905
移動距離: 2.152568 時間: 0.4218521
移動距離: 6.655194 時間: 0.5249538
移動距離: 3.026333 時間: 0.8165531
移動距離: 8.748116 時間: 0.6562977
移動距離: 2.82665 時間: 0.4767694
移動距離: 7.727827 時間: 0.5233345
移動距離: 5.125977 時間: 0.4306955
移動距離: 5.858868 時間: 0.5019007
移動距離: 3.836213 時間: 0.669282
移動距離: 4.303572 時間: 0.4710588
移動距離: 7.799537 時間: 0.5436382
移動距離: 11.61019 時間: 1.227697
移動距離: 8.925857 時間: 0.5600138
移動距離: 1.197196 時間: 0.3357067
移動距離: 5.137997 時間: 0.5334988
移動距離: 1.832805 時間: 0.373457
移動距離: 11.46357 時間: 0.5265675
移動距離: 12.27727 時間: 0.5097771
移動距離: 1.629829 時間: 0.4814377
移動距離: 9.551099 時間: 0.466177
移動距離: 2.102775 時間: 0.3888607
移動距離: 11.04203 時間: 0.5101891
移動距離: 7.934974 時間: 0.4743404
移動距離: 2.549027 時間: 0.4262066
移動距離: 7.491082 時間: 0.5526237
移動距離: 11.70621 時間: 0.5233746
移動距離: 3.857432 時間: 0.4185352
移動距離: 4.580124 時間: 0.7994423
移動距離: 4.414957 時間: 1.193632
移動距離: 7.235685 時間: 0.4332237
移動距離: 7.013858 時間: 0.5396843
移動距離: 7.661291 時間: 0.4571419
移動距離: 7.204591 時間: 0.8033276
移動距離: 3.538206 時間: 0.7608814
移動距離: 12.40548 時間: 1.018566
移動距離: 3.022614 時間: 0.405838
移動距離: 8.989344 時間: 0.5937042
移動距離: 6.778002 時間: 0.4847374
移動距離: 5.862497 時間: 0.4739761
移動距離: 11.67846 時間: 1.121895
移動距離: 10.8294 時間: 0.990654
移動距離: 7.76693 時間: 0.6333542
移動距離: 9.697929 時間: 0.5315514
移動距離: 3.098733 時間: 0.6785431
移動距離: 2.84408 時間: 0.3634415
移動距離: 7.327583 時間: 0.5895271
移動距離: 4.975131 時間: 0.4779167
移動距離: 1.668886 時間: 0.7300568
移動距離: 6.042988 時間: 0.3833771
移動距離: 3.666691 時間: 0.3843689
移動距離: 5.106769 時間: 0.4592171
移動距離: 6.420796 時間: 0.4548645
移動距離: 8.330724 時間: 0.4210014
移動距離: 5.931808 時間: 0.3878708
移動距離: 8.768885 時間: 0.4896011
移動距離: 1.497123 時間: 0.6461563
移動距離: 2.081458 時間: 0.4010353
移動距離: 1.219614 時間: 0.6422157
移動距離: 8.504478 時間: 0.6441841
移動距離: 4.205189 時間: 0.4670715
移動距離: 6.030416 時間: 0.4100761
移動距離: 11.79785 時間: 0.4938507
移動距離: 3.648226 時間: 0.380619
移動距離: 5.826861 時間: 0.7194862
移動距離: 1.835258 時間: 0.5909576
移動距離: 4.411126 時間: 0.4314613
移動距離: 5.268349 時間: 0.5377541
移動距離: 0.8981535 時間: 0.4424286
移動距離: 8.59721 時間: 0.4992638
移動距離: 6.502052 時間: 0.4693222
移動距離: 4.663785 時間: 0.6810226
移動距離: 2.438015 時間: 0.4287186
移動距離: 5.563043 時間: 0.4216995
移動距離: 7.582011 時間: 0.579052
移動距離: 5.115329 時間: 0.4026337
移動距離: 2.242973 時間: 0.4085121
移動距離: 5.099323 時間: 0.4148788
移動距離: 1.520988 時間: 0.3886909
移動距離: 7.784271 時間: 0.5728607
移動距離: 8.848362 時間: 0.3942375
移動距離: 4.709797 時間: 0.385067
移動距離: 8.952395 時間: 0.7858505
移動距離: 8.291942 時間: 0.6542435
移動距離: 5.111378 時間: 0.7563972
移動距離: 4.684412 時間: 0.4347038
移動距離: 5.54593 時間: 0.3710327
移動距離: 9.239061 時間: 0.6530952
移動距離: 10.3937 時間: 0.4634361
移動距離: 4.908534 時間: 0.73526
移動距離: 5.033223 時間: 0.4216347
移動距離: 6.812794 時間: 0.4267349
移動距離: 8.948133 時間: 0.5578728
移動距離: 4.045622 時間: 0.6342621
移動距離: 0.9444112 時間: 0.5760651
移動距離: 2.074135 時間: 0.5860023
移動距離: 4.293378 時間: 0.41185
移動距離: 7.717559 時間: 0.6483574
移動距離: 7.559425 時間: 0.5218887
移動距離: 5.593906 時間: 0.4084778
移動距離: 10.63151 時間: 0.6062431
移動距離: 8.965999 時間: 0.4402122
移動距離: 3.072605 時間: 0.4920654
移動距離: 10.04003 時間: 0.4532776
移動距離: 6.894979 時間: 1.164276
移動距離: 6.358257 時間: 0.8794327
移動距離: 4.496355 時間: 0.5972366
移動距離: 8.119562 時間: 0.5202866
移動距離: 3.601202 時間: 0.3908005
移動距離: 7.303073 時間: 0.991478
移動距離: 7.497546 時間: 0.5786209
計測開始: 2025/10/20 22:45:47
計測開始: 2025/10/20 23:03:31
移動距離: 2.95 時間: 0.7107131
移動距離: 4.279952 時間: 0.6282475
移動距離: 6.802064 時間: 1.768472
移動距離: 4.364503 時間: 0.8184195
計測開始: 2025/10/20 23:03:56
移動距離: 2.95 時間: 0.7418182
移動距離: 5.816785 時間: 0.6420361
移動距離: 7.856094 時間: 0.5972419
移動距離: 2.796575 時間: 0.6392674
移動距離: 11.08155 時間: 0.6062777
移動距離: 5.1944 時間: 0.6252704
移動距離: 8.945563 時間: 0.5612974
移動距離: 3.629621 時間: 0.4298978
移動距離: 3.459385 時間: 0.4531698
移動距離: 0.8730018 時間: 0.4027271
